21210
18043	18166	5256
18515	18644	5380
18717	18837	5510
18920	18982	5631
21679	21785	5694
22069	22210	5801
23441	23575	5943
23657	23760	6078
24058	24150	6182
24828	25068	6275
25167	25468	6516
0	320	0
1239	1569	321
5974	6117	652
6331	6415	796
6499	6571	881
6773	6839	954
6929	7066	1021
7168	7232	1159
7439	7549	1224
7624	7704	1335
10682	10870	1416
12528	12665	1605
12753	12943	1743
13080	13204	1934
13289	13372	2059
13507	13611	2143
13717	13889	2248
14375	14563	2421
14649	14786	2610
15665	15891	2748
15968	16178	2975
17063	17171	3186
18485	19453	3295
0	2141	0
2893	2972	2142
3305	3383	2222
3508	3566	2301
4329	4409	2360
5213	5328	2441
7325	7499	2557
8680	8813	2732
0	190	0
1249	1343	191
1429	1573	286
1721	1872	431
2305	2329	583
2463	2522	608
2603	2851	668
0	190	0
1249	1343	191
1429	1573	286
1721	1872	431
2305	2329	583
2441	2522	608
2603	2851	690
0	279	0
536	630	280
716	860	375
1008	1159	520
1592	1616	672
1750	1809	697
1890	2138	757
0	1070	0
1145	1335	1071
1501	1577	1262
1658	1789	1339
1872	1964	1471
2049	2143	1564
3111	3254	1659
3385	3459	1803
3872	3980	1878
4362	4433	1987
4555	4667	2059
4768	4903	2172
5184	5315	2308
5901	6070	2440
6597	6788	2610
8387	8469	2802
9195	9292	2885
9689	9865	2983
11377	11530	3160
11882	11987	3314
12272	12389	3420
14505	14648	3538
14834	14924	3682
15024	15157	3773
15260	15411	3907
15900	16005	4059
16308	16388	4165
19970	20131	4246
24456	24640	4408
0	1070	0
1145	1335	1071
1501	1577	1262
1658	1789	1339
1872	1964	1471
2049	2143	1564
3111	3254	1659
3385	3459	1803
3872	3980	1878
4362	4433	1987
4555	4667	2059
4768	4903	2172
5184	5315	2308
5901	6070	2440
6597	6788	2610
8387	8469	2802
9195	9292	2885
9689	9865	2983
11377	11530	3160
11882	11987	3314
12272	12389	3420
14505	14648	3538
14834	14924	3682
15024	15157	3773
15260	15411	3907
15900	16005	4059
16308	16388	4165
